respondent_id,xyz_vaccine_received,seasonal_vaccine_received
26707,0.08834340019049783,0.21476696108871282
26708,0.04355384303309602,0.031710780844033656
26709,0.44787661435069953,0.6257683609796553
26710,0.4950460581727563,0.865700002175143
26711,0.16870261555928207,0.4373956916900253
26712,0.4710859443691169,0.915274097405938
26713,0.3228138286894599,0.5525744057444882
26714,0.1502118969517702,0.28057813279410104
26715,0.038848925681076875,0.20425022245891272
26716,0.24361939887174364,0.8721783616979915
26717,0.01710388610048251,0.3820231951484385
26718,0.18672796271186254,0.4290389303993819
26719,0.08775652361967191,0.9122407910352055
26720,0.07384479541931016,0.14451885248836616
26721,0.4166496658265522,0.4126657805217879
26722,0.04618951383069606,0.07801852566946967
26723,0.675462179301896,0.8581408239718202
26724,0.1227011732532785,0.6183784489603279
26725,0.0390770041641318,0.10429874980798547
26726,0.012068277246026127,0.02964325475053985
26727,0.3046866465967971,0.7698466785370642
26728,0.2267451295905832,0.5690894608029583
26729,0.0668058141108005,0.28350689022986053
26730,0.04271474651337357,0.24446914748101256
26731,0.019064049051100047,0.2876305684720798
26732,0.09596123475485,0.09267786052091645
26733,0.9132801183221814,0.9593713144335464
26734,0.8590617226576508,0.4102489719259066
26735,0.18460165023411815,0.5068673737946877
26736,0.06571798746186515,0.13674172066553528
26737,0.08477926131961218,0.1099367620984155
26738,0.6257727939147264,0.8626714496355665
26739,0.10445841540202241,0.24013556120217386
26740,0.18821262628822857,0.143329537401421
26741,0.18746872523909774,0.9212393294011606
26742,0.16048588023568522,0.4755439993076197
26743,0.040248515570854834,0.4314344315053062
26744,0.0543053619887924,0.6089283465293741
26745,0.09884090443319832,0.9080505972184418
26746,0.14306117370700178,0.3848722827702198
26747,0.089220107393,0.2800075241092744
26748,0.11031619548616876,0.06990707346034829
26749,0.07598353663794409,0.7125150403187972
26750,0.6270849501367535,0.9047661035298206
26751,0.25532042302220787,0.6738747252107928
26752,0.01850658543169458,0.023810998707498858
26753,0.19482062552764334,0.6275894106184405
26754,0.12167874614444145,0.5554883600710422
26755,0.09749317408303897,0.3503886453433268
26756,0.016318176109723574,0.031889645055476756
26757,0.4627611396437611,0.5202307520744477
26758,0.6414021532236545,0.8860272139183929
26759,0.03673612409157459,0.2199301870640891
26760,0.016129425174550925,0.02985444914638413
26761,0.1249130878671624,0.5289551974789246
26762,0.16321184895098634,0.8422146612742263
26763,0.8913763699506152,0.974817278170036
26764,0.9288100129697108,0.9632953168831999
26765,0.030644975951805962,0.7193629580906427
26766,0.1475343392598101,0.15424060536944895
26767,0.7518300338946807,0.6708159918627855
26768,0.012677646289327374,0.45940640017188494
26769,0.15028683723825886,0.18459751468866706
26770,0.1325720084552813,0.683988640025823
26771,0.05249377136851974,0.14333650422049912
26772,0.09135390948828942,0.39005809136260966
26773,0.010372707748979965,0.34594179298265826
26774,0.030533850704981335,0.5273138404740381
26775,0.12654699181030038,0.5636383072972312
26776,0.33639562271267304,0.2992877412361297
26777,0.1366054154801778,0.9156212129490934
26778,0.1311671175219751,0.12343889793923464
26779,0.08770140185002824,0.46079654089443567
26780,0.1433732627774884,0.9442731840341301
26781,0.03590851832280142,0.42154257250226007
26782,0.03723595167990906,0.33046241023838924
26783,0.06931749536578576,0.43565965833205866
26784,0.35474032711276954,0.8506436742518118
26785,0.4300287533230918,0.6359291769566339
26786,0.12279697819940653,0.26474095515159873
26787,0.0952198374826196,0.45938692710209933
26788,0.11913471477132141,0.93435276140161
26789,0.01157807371843285,0.2728270259999174
26790,0.05750978730757478,0.3302430133758047
26791,0.07546122542215782,0.10378321403699872
26792,0.21402701096625473,0.7642125596358595
26793,0.1329183338205218,0.8983010932266023
26794,0.819402304959211,0.9166998943617957
26795,0.042041617094811225,0.9351150923901613
26796,0.06367269611868949,0.07389329268895557
26797,0.10115233882248614,0.6031962280167729
26798,0.16233164638255085,0.1722013502285616
26799,0.2651183552633371,0.20706515729335284
26800,0.039378766157068965,0.9134626100169122
26801,0.2834783228961037,0.3828102957762932
26802,0.11576665932311582,0.2213386225083481
26803,0.05318292618991967,0.18870137074501167
26804,0.059288029539618065,0.10661670913066051
26805,0.07427481874186491,0.1594073890610399
26806,0.06825126258669297,0.8741245035555588
26807,0.6980978968447239,0.9549174473936228
26808,0.23318100067339406,0.5701549279112157
26809,0.6782107905818706,0.15303241587724695
26810,0.03656223227060825,0.07806984927094598
26811,0.04738054193755962,0.06417651985099727
26812,0.13810136956237112,0.7185472076272262
26813,0.3073003116051805,0.27672489504429726
26814,0.027667287695164546,0.442708428662556
26815,0.06526549584064231,0.18896916934864133
26816,0.04200375120150846,0.20614951459346617
26817,0.15774727212239498,0.7189743839853056
26818,0.06996509550916098,0.2154606560919149
26819,0.3706946412515334,0.4280843069639824
26820,0.08312337117384726,0.29841265096754194
26821,0.11687330552346004,0.4719349057100844
26822,0.2961346813966944,0.6622382626597827
26823,0.47538208331348314,0.4762264956214091
26824,0.04140594955285525,0.6930312477873883
26825,0.37307186175295576,0.75021954832729
26826,0.0833681164503429,0.7252819275079062
26827,0.056250811250710256,0.11238858572504551
26828,0.17186369429695256,0.6950454473668308
26829,0.5679367202863409,0.8924121431027674
26830,0.07942343143364804,0.7185678741190433
26831,0.1955802171029643,0.7989712592637364
26832,0.119895720331703,0.8336850231902079
26833,0.0052400504010723025,0.25007060613629845
26834,0.09336918681345263,0.45021395778004364
26835,0.37924593238516624,0.9089484954993919
26836,0.14938190328906648,0.586424347351157
26837,0.03357378775884394,0.015115659585856433
26838,0.11670703017698134,0.4816016963205326
